(-4.802842467359342, 2.0901214043840035)
(-6.19635960914155, 2.082086309381209)
(-4.80813864529957, 2.091705323440976)
(-3.9345890229242624, 2.0924986939326957)
(-5.5413628964460875, 2.081713057584417)
(-4.463723263277224, 2.0863907168236002)
(-3.8773543853222714, 2.092962942605009)
(-5.143525249863835, 2.0786119355844135)
(-3.6144679936419046, 2.089700125222294)
(-2.975679439156973, 2.094093567277339)
(-5.224803062351162, 2.077528171020824)
(-3.9407087738113087, 2.0867364424580703)
(-3.424486663300822, 2.0937056812407446)
(-5.702851687687011, 2.072003111410236)
(-4.107296235625702, 2.0892640046912394)
(-3.5053714662950313, 2.094852095337077)
(-5.086965087096592, 2.0748214116973274)
(-4.456324824634015, 2.084363440207326)
(-4.0573155809588135, 2.0904350321138288)
(-4.924245369293785, 2.0744467706870666)
(-4.489915832453902, 2.084678695305594)
(-4.113932306684762, 2.090515931321019)
(-4.714765373359747, 2.077711470503701)
(-4.420030075377541, 2.0841225089045947)
(-4.368893978237744, 2.0861650228833266)
(-4.5400454155024565, 2.0781561046625185)
(-3.5301773311378217, 2.0865538570378273)
(-4.251518808079223, 2.0846897180142245)
(-4.490359309198526, 2.0791507802669886)
(-4.358938926178302, 2.0822525947029447)
(-4.34779339081733, 2.0828308735421457)
(-4.461133015396389, 2.0794802047856553)
(-4.366478795342002, 2.0823182764272428)
(-4.35011359979313, 2.0828032934594343)
(-3.6854720281486086, 2.0817435613184214)
(-4.538742703018831, 2.0811915245194106)
(-4.711392600910138, 2.0797892328788925)
(-3.98944118218387, 2.084454841725205)
(-5.386363602681042, 2.077949849980338)
(-4.815363927816896, 2.080755209066167)
(-4.174627576855398, 2.0849667209832674)
(-4.4744857260272, 2.0824306384064237)
(-4.568183532139393, 2.0812711860245883)
(-4.226825501727225, 2.085576690335129)
(-4.4465393157794475, 2.0821321068738117)
(-3.6951903222063773, 2.083162526891927)
(-4.07476353982616, 2.084287906966697)
(-3.915759217804334, 2.084010123781511)
(-4.159952624098167, 2.084038039348379)
(-4.887529617221932, 2.081648593230637)
(-4.004433365057779, 2.0860389445833976)
(-4.134721801274188, 2.0841361326024703)
(-3.9473685883814915, 2.0825647046211406)
(-4.0297418535246505, 2.083121799700105)
(-4.391022586279976, 2.0829889940276165)
(-4.7023189456266845, 2.0811215111022054)
(-3.1892680596552485, 2.0868903634508174)
(-3.3501632317034518, 2.083364605264298)
(-3.6218803271103694, 2.0810046654437193)
(-2.986231290067012, 2.082789379642932)
(-2.7955113055772514, 2.0845925592924184)
(-3.5091555852189034, 2.1879350824133525)
(-3.0395442050514725, 2.893461900271021)
(-2.8343429707791636, 2.1909611834747325)
(-2.5930172389505723, 2.1682709005970344)
(-2.1478172319113464, 2.1900749712048517)
(-2.0970114228950587, 2.514452477839531)
(-2.5383942972039324, 2.9121921830082638)
(-2.3256250445080298, 2.9362855468344575)
(-2.079646208717026, 2.9567816258981403)
(-2.1615534047316682, 2.230627963032964)
(-2.2698463903688064, 1.9890631929418685)
(-2.42810926567129, 2.0433807124068646)
(-3.038000547854328, 2.1917563618494347)
(-2.3394905986517878, 2.010059368844774)
(-2.4133995661598036, 2.0371266127990495)
(-2.3640420171628587, 2.7329579765901357)
(-2.3881513163855987, 2.9115542180265965)
(-2.7472451199579004, 2.8469923272951827)
(-3.2222543670276864, 2.6696644270786467)
(-2.4683238958705824, 1.986003930301275)
(-2.710029549773418, 2.847075431435442)
(-2.5589099730503886, 2.360301678209619)
(-3.095037004021663, 2.444594064262477)
(-3.353632255274548, 2.9126769767986733)
(-2.6859190628429963, 2.939410297564187)
(-2.1492259369195574, 2.491174722321814)
(-3.9926434859432507, 2.8385513485577234)
(-3.479232370002021, 2.614685166314505)
(-3.084517910586534, 2.6846609708429034)
(-3.416144874743107, 2.7641442232765256)
(-4.369250576732675, 2.626053049290797)
(-4.1062295854482045, 2.6808631500154867)
(-3.5228291581269073, 2.7515591218788535)
(-3.196829310881402, 2.704055895468976)
(-3.85567718295019, 2.7182653366733116)
(-4.383528432244688, 2.7333106028607106)
(-4.182657683104959, 2.6193135775491982)
(-3.887602914804955, 1.8085014130384205)
(-4.303874835063199, 2.5786144199057417)
(-4.016185613816603, 2.0584038682227326)
(-4.119001756421476, 1.7026564406903335)
(-4.208794655905704, 1.728165066391177)
